 1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759  1.759
-0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142 -0.142
 0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307  0.307
-1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765 -1.765
 1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748  1.748
 1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727  1.727
-1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071 -1.071
  0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68   0.68
  -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5   -0.5
-1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787 -1.787
 0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773  0.773
